IDENTIFIER	SMILES	time	dupl
Phosphatidylethanolamine_18:0-22:4	InChI=1S/C45H82NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-45(48)54-43(42-53-55(49,50)52-40-39-46)41-51-44(47)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h17,19,21-22,26,28,32,34,43H,3-16,18,20,23-25,27,29-31,33,35-42,46H2,1-2H3,(H,49,50)/b19-17-,22-21-,28-26-,34-32-	1922.4	yes
Phosphatidylethanolamine_18:1-19:0	InChI=1S/C42H82NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43)38-48-41(44)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h28,30,40H,3-27,29,31-39,43H2,1-2H3,(H,46,47)/b30-28-	2204.4	yes
Phosphatidylethanolamine_18:1-20:5	InChI=1S/C43H74NO8P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-43(46)52-41(40-51-53(47,48)50-38-37-44)39-49-42(45)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h7,9,13,15,19-20,24,26,29-32,41H,3-6,8,10-12,14,16-18,21-23,25,27-28,33-40,44H2,1-2H3,(H,47,48)/b9-7-,15-13-,20-19-,26-24-,31-29-,32-30-	870.6	yes
Phosphatidylcholine_14:0-18:2	InChI=1S/C40H76NO8P/c1-6-8-10-12-14-16-18-19-20-21-23-25-27-29-31-33-40(43)49-38(37-48-50(44,45)47-35-34-41(3,4)5)36-46-39(42)32-30-28-26-24-22-17-15-13-11-9-7-2/h21,23,27,29,38H,6-20,22,24-26,28,30-37H2,1-5H3/b23-21-,29-27-	792.6	yes
Phosphatidylethanolamine_18:3-18:2	InChI=1S/C41H72NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42)50-41(44)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h15,17,21-24,27-30,39H,3-14,16,18-20,25-26,31-38,42H2,1-2H3,(H,45,46)/b17-15-,23-21-,24-22-,29-27-,30-28-	672.0	yes
Phosphatidylethanolamine_18:2-20:4	InChI=1S/C43H74NO8P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-43(46)52-41(40-51-53(47,48)50-38-37-44)39-49-42(45)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h13,15,19-20,23-26,29-32,41H,3-12,14,16-18,21-22,27-28,33-40,44H2,1-2H3,(H,47,48)/b15-13-,20-19-,25-23-,26-24-,31-29-,32-30-	827.4	yes
Phosphatidylethanolamine_18:1-22:1	InChI=1S/C45H86NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-45(48)54-43(42-53-55(49,50)52-40-39-46)41-51-44(47)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h31-34,43H,3-30,35-42,46H2,1-2H3,(H,49,50)/b33-31-,34-32-	2389.8	yes
Phosphatidylethanolamine_19:0-22:6	InChI=1S/C46H80NO8P/c1-3-5-7-9-11-13-15-17-19-21-22-23-25-27-29-31-33-35-37-39-46(49)55-44(43-54-56(50,51)53-41-40-47)42-52-45(48)38-36-34-32-30-28-26-24-20-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,22-23,27,29,33,35,44H,3-4,6,8-10,12,14-16,18,20-21,24-26,28,30-32,34,36-43,47H2,1-2H3,(H,50,51)/b7-5-,13-11-,19-17-,23-22-,29-27-,35-33-	1741.2	yes
Phosphatidylcholine_14:0-16:0	InChI=1S/C38H76NO8P/c1-6-8-10-12-14-16-18-19-21-23-25-27-29-31-38(41)47-36(35-46-48(42,43)45-33-32-39(3,4)5)34-44-37(40)30-28-26-24-22-20-17-15-13-11-9-7-2/h36H,6-35H2,1-5H3	1156.8	yes
Phosphatidylethanolamine_19:0-18:2	InChI=1S/C42H80NO8P/c1-3-5-7-9-11-13-15-17-19-21-22-24-26-28-30-32-34-41(44)48-38-40(39-50-52(46,47)49-37-36-43)51-42(45)35-33-31-29-27-25-23-20-18-16-14-12-10-8-6-4-2/h23,25,29,31,40H,3-22,24,26-28,30,32-39,43H2,1-2H3,(H,46,47)/b25-23-,31-29-	1995.6	yes
Phosphatidylethanolamine_20:0-20:5	InChI=1S/C45H80NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-44(47)51-41-43(42-53-55(49,50)52-40-39-46)54-45(48)38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h8,10,14,16,20,22,26,28,32,34,43H,3-7,9,11-13,15,17-19,21,23-25,27,29-31,33,35-42,46H2,1-2H3,(H,49,50)/b10-8-,16-14-,22-20-,28-26-,34-32-	1849.2	yes
Phosphatidylethanolamine_19:0-20:4	InChI=1S/C44H80NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45)40-50-43(46)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h13,15,19,21,25,27,31,33,42H,3-12,14,16-18,20,22-24,26,28-30,32,34-41,45H2,1-2H3,(H,48,49)/b15-13-,21-19-,27-25-,33-31-	1879.8	yes
Phosphatidylethanolamine_20:0-18:2	InChI=1S/C43H82NO8P/c1-3-5-7-9-11-13-15-17-19-20-22-23-25-27-29-31-33-35-42(45)49-39-41(40-51-53(47,48)50-38-37-44)52-43(46)36-34-32-30-28-26-24-21-18-16-14-12-10-8-6-4-2/h24,26,30,32,41H,3-23,25,27-29,31,33-40,44H2,1-2H3,(H,47,48)/b26-24-,32-30-	2253.6	yes
Phosphatidylethanolamine_22:0-18:2	InChI=1S/C45H86NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-25-27-29-31-33-35-37-44(47)51-41-43(42-53-55(49,50)52-40-39-46)54-45(48)38-36-34-32-30-28-26-23-18-16-14-12-10-8-6-4-2/h26,28,32,34,43H,3-25,27,29-31,33,35-42,46H2,1-2H3,(H,49,50)/b28-26-,34-32-	2673.6	yes
Phosphatidylethanolamine_20:2-22:6	InChI=1S/C47H78NO8P/c1-3-5-7-9-11-13-15-17-19-21-22-24-26-28-30-32-34-36-38-40-47(50)56-45(44-55-57(51,52)54-42-41-48)43-53-46(49)39-37-35-33-31-29-27-25-23-20-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,22,24,27-30,33-36,45H,3-4,6,8-10,12,14-16,18,20-21,23,25-26,31-32,37-44,48H2,1-2H3,(H,51,52)/b7-5-,13-11-,19-17-,24-22-,29-27-,30-28-,35-33-,36-34-	1044.0	yes
Phosphatidylethanolamine_20:3-20:4	InChI=1S/C45H76NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-44(47)51-41-43(42-53-55(49,50)52-40-39-46)54-45(48)38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h14,16,19-22,25-28,31-34,43H,3-13,15,17-18,23-24,29-30,35-42,46H2,1-2H3,(H,49,50)/b16-14-,21-19-,22-20-,27-25-,28-26-,33-31-,34-32-	888.6	yes
Phosphatidylethanolamine_20:4-22:6	InChI=1S/C47H74NO8P/c1-3-5-7-9-11-13-15-17-19-21-22-24-26-28-30-32-34-36-38-40-47(50)56-45(44-55-57(51,52)54-42-41-48)43-53-46(49)39-37-35-33-31-29-27-25-23-20-18-16-14-12-10-8-6-4-2/h5,7,11,13-14,16-17,19-20,22-24,27-30,33-36,45H,3-4,6,8-10,12,15,18,21,25-26,31-32,37-44,48H2,1-2H3,(H,51,52)/b7-5-,13-11-,16-14-,19-17-,23-20-,24-22-,29-27-,30-28-,35-33-,36-34-	649.8	yes
Phosphatidylethanolamine_alkenyl_16:0-20:3	InChI=1S/C41H76NO7P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-41(43)49-40(39-48-50(44,45)47-37-35-42)38-46-36-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h19-20,22,24,28,30,33,36,40H,3-18,21,23,25-27,29,31-32,34-35,37-39,42H2,1-2H3,(H,44,45)/b20-19-,24-22-,30-28-,36-33+	1533.6	yes
Phosphatidylcholine_14:0-20:4	InChI=1S/C42H76NO8P/c1-6-8-10-12-14-16-18-19-20-21-22-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-17-15-13-11-9-7-2/h16,18,20-21,23,25,29,31,40H,6-15,17,19,22,24,26-28,30,32-39H2,1-5H3/b18-16-,21-20-,25-23-,31-29-	730.2	yes
Phosphatidylcholine_14:0-20:5	InChI=1S/C42H74NO8P/c1-6-8-10-12-14-16-18-19-20-21-22-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-17-15-13-11-9-7-2/h10,12,16,18,20-21,23,25,29,31,40H,6-9,11,13-15,17,19,22,24,26-28,30,32-39H2,1-5H3/b12-10-,18-16-,21-20-,25-23-,31-29-	568.2	yes
Phosphatidylcholine_15:0-16:0	InChI=1S/C39H78NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-39(42)48-37(36-47-49(43,44)46-34-33-40(3,4)5)35-45-38(41)31-29-27-25-23-21-19-17-15-13-11-9-7-2/h37H,6-36H2,1-5H3	1366.2	yes
Phosphatidylethanolamine_22:1-18:2	InChI=1S/C45H84NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-25-27-29-31-33-35-37-44(47)51-41-43(42-53-55(49,50)52-40-39-46)54-45(48)38-36-34-32-30-28-26-23-18-16-14-12-10-8-6-4-2/h26,28,31-34,43H,3-25,27,29-30,35-42,46H2,1-2H3,(H,49,50)/b28-26-,33-31-,34-32-	2044.2	yes
Phosphatidylethanolamine_22:6-22:6	InChI=1S/C49H74NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-41-48(51)55-45-47(46-57-59(53,54)56-44-43-50)58-49(52)42-40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,23-26,29-32,35-38,47H,3-4,9-10,15-16,21-22,27-28,33-34,39-46,50H2,1-2H3,(H,53,54)/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-,25-23-,26-24-,31-29-,32-30-,37-35-,38-36-	574.2	yes
Phosphatidylethanolamine_alkenyl_16:0-22:4	InChI=1S/C43H78NO7P/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-24-26-28-30-32-34-36-43(45)51-42(41-50-52(46,47)49-39-37-44)40-48-38-35-33-31-29-27-25-18-16-14-12-10-8-6-4-2/h17,19,21-22,24,26,30,32,35,38,42H,3-16,18,20,23,25,27-29,31,33-34,36-37,39-41,44H2,1-2H3,(H,46,47)/b19-17-,22-21-,26-24-,32-30-,38-35+	1636.2	yes
Phosphatidylethanolamine_alkenyl_16:0-20:5	InChI=1S/C41H72NO7P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-41(43)49-40(39-48-50(44,45)47-37-35-42)38-46-36-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h7,9,13,15,19-20,22,24,28,30,33,36,40H,3-6,8,10-12,14,16-18,21,23,25-27,29,31-32,34-35,37-39,42H2,1-2H3,(H,44,45)/b9-7-,15-13-,20-19-,24-22-,30-28-,36-33+	1078.2	yes
Phosphatidylethanolamine_alkyl_18:0-18:2	InChI=1S/C41H80NO7P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-36-46-38-40(39-48-50(44,45)47-37-35-42)49-41(43)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h22,24,28,30,40H,3-21,23,25-27,29,31-39,42H2,1-2H3,(H,44,45)/b24-22-,30-28-	2083.8	yes
Phosphatidylethanolamine_alkyl_20:0-20:4	InChI=1S/C45H84NO7P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-40-50-42-44(43-52-54(48,49)51-41-39-46)53-45(47)38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h14,16,20,22,26,28,32,34,44H,3-13,15,17-19,21,23-25,27,29-31,33,35-43,46H2,1-2H3,(H,48,49)/b16-14-,22-20-,28-26-,34-32-	2515.2	yes
Phosphatidylethanolamine_lyso_16:0	InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)29-20(18-23)19-28-30(25,26)27-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)	156.0	yes
Phosphatidylethanolamine_alkyl_20:0-18:2	InChI=1S/C43H84NO7P/c1-3-5-7-9-11-13-15-17-19-20-21-23-25-27-29-31-33-35-38-48-40-42(41-50-52(46,47)49-39-37-44)51-43(45)36-34-32-30-28-26-24-22-18-16-14-12-10-8-6-4-2/h24,26,30,32,42H,3-23,25,27-29,31,33-41,44H2,1-2H3,(H,46,47)/b26-24-,32-30-	2613.6	yes
Phosphatidylethanolamine_alkyl_20:0-22:6	InChI=1S/C47H84NO7P/c1-3-5-7-9-11-13-15-17-19-21-23-24-26-28-30-32-34-36-38-40-47(49)55-46(45-54-56(50,51)53-43-41-48)44-52-42-39-37-35-33-31-29-27-25-22-20-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,23-24,28,30,34,36,46H,3-4,6,8-10,12,14-16,18,20-22,25-27,29,31-33,35,37-45,48H2,1-2H3,(H,50,51)/b7-5-,13-11-,19-17-,24-23-,30-28-,36-34-	2395.2	yes
Phosphatidylcholine_14:0-20:3	InChI=1S/C42H78NO8P/c1-6-8-10-12-14-16-18-19-20-21-22-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-17-15-13-11-9-7-2/h20-21,23,25,29,31,40H,6-19,22,24,26-28,30,32-39H2,1-5H3/b21-20-,25-23-,31-29-	889.8	yes
Phosphatidylethanolamine_lyso_20:5	InChI=1S/C25H42NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-25(28)33-24(22-27)23-32-34(29,30)31-21-20-26/h4-5,7-8,10-11,13-14,16-17,24,27H,2-3,6,9,12,15,18-23,26H2,1H3,(H,29,30)/b5-4-,8-7-,11-10-,14-13-,17-16-	100.2	yes
Phosphatidylethanolamine_lyso_22:6	InChI=1S/C27H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-27(30)35-26(24-29)25-34-36(31,32)33-23-22-28/h3-4,6-7,9-10,12-13,15-16,18-19,26,29H,2,5,8,11,14,17,20-25,28H2,1H3,(H,31,32)/b4-3-,7-6-,10-9-,13-12-,16-15-,19-18-	108.0	yes
Phosphatidylethanolamine_lyso_alkenyl_16:0	InChI=1S/C21H44NO6P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-26-21(19-23)20-28-29(24,25)27-18-16-22/h15,17,21,23H,2-14,16,18-20,22H2,1H3,(H,24,25)/b17-15+	184.8	yes
Phosphatidylethanolamine_lyso_alkenyl_18:0	InChI=1S/C23H48NO6P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-28-23(21-25)22-30-31(26,27)29-20-18-24/h17,19,23,25H,2-16,18,20-22,24H2,1H3,(H,26,27)/b19-17+	282.0	yes
Phosphatidylcholine_15:0-20:5	InChI=1S/C43H76NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-24-26-28-30-32-34-36-43(46)52-41(40-51-53(47,48)50-38-37-44(3,4)5)39-49-42(45)35-33-31-29-27-25-19-17-15-13-11-9-7-2/h10,12,16,18,21-22,24,26,30,32,41H,6-9,11,13-15,17,19-20,23,25,27-29,31,33-40H2,1-5H3/b12-10-,18-16-,22-21-,26-24-,32-30-	711.0	yes
Phosphatidylcholine_16:1-16:1	InChI=1S/C40H76NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-39(42)46-36-38(37-48-50(44,45)47-35-34-41(3,4)5)49-40(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h26-29,38H,6-25,30-37H2,1-5H3/b28-26-,29-27-	752.4	yes
Phosphatidylglyceride_16:0-18:2	InChI=1S/C40H75O10P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-40(44)50-38(36-49-51(45,46)48-34-37(42)33-41)35-47-39(43)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h20,22,26,28,37-38,41-42H,3-19,21,23-25,27,29-36H2,1-2H3,(H,45,46)/b22-20-,28-26-	963.6	yes
Phosphatidylglyceride_18:1-18:1	InChI=1S/C42H79O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-41(45)49-37-40(38-51-53(47,48)50-36-39(44)35-43)52-42(46)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h27-30,39-40,43-44H,3-26,31-38H2,1-2H3,(H,47,48)/b29-27-,30-28-	891.0	yes
Phosphatidylcholine_15:0-22:6	InChI=1S/C45H78NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-28-30-32-34-36-38-45(48)54-43(42-53-55(49,50)52-40-39-46(3,4)5)41-51-44(47)37-35-33-31-29-27-19-17-15-13-11-9-7-2/h8,10,14,16,20-21,23-24,26,28,32,34,43H,6-7,9,11-13,15,17-19,22,25,27,29-31,33,35-42H2,1-5H3/b10-8-,16-14-,21-20-,24-23-,28-26-,34-32-	815.4	yes
Phosphatidylglyceride_18:1-20:4	InChI=1S/C44H77O10P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-44(48)54-42(40-53-55(49,50)52-38-41(46)37-45)39-51-43(47)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h13,15,19-20,24,26,29-32,41-42,45-46H,3-12,14,16-18,21-23,25,27-28,33-40H2,1-2H3,(H,49,50)/b15-13-,20-19-,26-24-,31-29-,32-30-	601.2	yes
Phosphatidylglyceride_18:0-18:2	InChI=1S/C42H79O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-41(45)49-37-40(38-51-53(47,48)50-36-39(44)35-43)52-42(46)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h22,24,28,30,39-40,43-44H,3-21,23,25-27,29,31-38H2,1-2H3,(H,47,48)/b24-22-,30-28-	1360.2	yes
Phosphatidylcholine_15:0-18:2	InChI=1S/C41H78NO8P/c1-6-8-10-12-14-16-18-20-21-22-24-26-28-30-32-34-41(44)50-39(38-49-51(45,46)48-36-35-42(3,4)5)37-47-40(43)33-31-29-27-25-23-19-17-15-13-11-9-7-2/h22,24,28,30,39H,6-21,23,25-27,29,31-38H2,1-5H3/b24-22-,30-28-	967.8	yes
Phosphatidylcholine_15:0-20:4	InChI=1S/C43H78NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-24-26-28-30-32-34-36-43(46)52-41(40-51-53(47,48)50-38-37-44(3,4)5)39-49-42(45)35-33-31-29-27-25-19-17-15-13-11-9-7-2/h16,18,21-22,24,26,30,32,41H,6-15,17,19-20,23,25,27-29,31,33-40H2,1-5H3/b18-16-,22-21-,26-24-,32-30-	895.8	yes
Phosphatidylcholine_16:0-16:1	InChI=1S/C40H78NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-39(42)46-36-38(37-48-50(44,45)47-35-34-41(3,4)5)49-40(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h27,29,38H,6-26,28,30-37H2,1-5H3/b29-27-	1114.2	yes
Phosphatidylglyceride_18:2-22:6	InChI=1S/C46H75O10P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-46(50)56-44(42-55-57(51,52)54-40-43(48)39-47)41-53-45(49)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,21-22,25-28,31-34,43-44,47-48H,3-4,6,8-10,12,14-16,18,20,23-24,29-30,35-42H2,1-2H3,(H,51,52)/b7-5-,13-11-,19-17-,22-21-,27-25-,28-26-,33-31-,34-32-	372.6	yes
Phosphatidylglyceride_20:3-22:6	InChI=1S/C48H77O10P/c1-3-5-7-9-11-13-15-17-19-21-22-24-26-28-30-32-34-36-38-40-48(52)58-46(44-57-59(53,54)56-42-45(50)41-49)43-55-47(51)39-37-35-33-31-29-27-25-23-20-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19-20,22-24,27-30,33-36,45-46,49-50H,3-4,6,8-10,12,14-16,18,21,25-26,31-32,37-44H2,1-2H3,(H,53,54)/b7-5-,13-11-,19-17-,23-20-,24-22-,29-27-,30-28-,35-33-,36-34-	423.0	yes
Phosphatidylcholine_alkyl_18:1-16:0	InChI=1S/C42H84NO7P/c1-6-8-10-12-14-16-18-20-21-22-24-26-28-30-32-34-37-47-39-41(40-49-51(45,46)48-38-36-43(3,4)5)50-42(44)35-33-31-29-27-25-23-19-17-15-13-11-9-7-2/h28,30,41H,6-27,29,31-40H2,1-5H3/b30-28-	1831.2	yes
Phosphatidylcholine_16:0-20:4	InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h16,18,21-22,25,27,31,33,42H,6-15,17,19-20,23-24,26,28-30,32,34-41H2,1-5H3/b18-16-,22-21-,27-25-,33-31-	1089.0	yes
Phosphatidylcholine_16:0-16:0	InChI=1S/C40H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-39(42)46-36-38(37-48-50(44,45)47-35-34-41(3,4)5)49-40(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h38H,6-37H2,1-5H3	1618.8	yes
Phosphatidylglyceride_22:6-22:6	InChI=1S/C50H75O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-41-49(53)57-45-48(46-59-61(55,56)58-44-47(52)43-51)60-50(54)42-40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,23-26,29-32,35-38,47-48,51-52H,3-4,9-10,15-16,21-22,27-28,33-34,39-46H2,1-2H3,(H,55,56)/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-,25-23-,26-24-,31-29-,32-30-,37-35-,38-36-	311.4	yes
Phosphatidylglyceride_22:6-22:5	InChI=1S/C50H77O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-41-49(53)57-45-48(46-59-61(55,56)58-44-47(52)43-51)60-50(54)42-40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5,7,11-14,17-20,23-26,29-32,35-38,47-48,51-52H,3-4,6,8-10,15-16,21-22,27-28,33-34,39-46H2,1-2H3,(H,55,56)/b7-5-,13-11-,14-12-,19-17-,20-18-,25-23-,26-24-,31-29-,32-30-,37-35-,38-36-	414.0	yes
Phosphatidylglyceride_22:6-22:4	InChI=1S/C50H79O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-41-49(53)57-45-48(46-59-61(55,56)58-44-47(52)43-51)60-50(54)42-40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5,7,11,13,17-20,23-26,29-32,35-38,47-48,51-52H,3-4,6,8-10,12,14-16,21-22,27-28,33-34,39-46H2,1-2H3,(H,55,56)/b7-5-,13-11-,19-17-,20-18-,25-23-,26-24-,31-29-,32-30-,37-35-,38-36-	476.4	yes
Phosphatidylinositol_18:1-18:2	InChI=1S/C45H81O13P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-38(46)55-35-37(36-56-59(53,54)58-45-43(51)41(49)40(48)42(50)44(45)52)57-39(47)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h22,24,27-30,37,40-45,48-52H,3-21,23,25-26,31-36H2,1-2H3,(H,53,54)/b24-22-,29-27-,30-28-/t37?,40-,41-,42+,43-,44-,45-/m1/s1	852.6	yes
Phosphatidylinositol_18:0-20:4	InChI=1S/C47H83O13P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-41(49)59-39(38-58-61(55,56)60-47-45(53)43(51)42(50)44(52)46(47)54)37-57-40(48)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h13,15,19-20,24,26,30,32,39,42-47,50-54H,3-12,14,16-18,21-23,25,27-29,31,33-38H2,1-2H3,(H,55,56)/b15-13-,20-19-,26-24-,32-30-/t39?,42-,43-,44+,45-,46-,47-/m1/s1	1227.0	yes
Phosphatidylinositol_16:0-18:1	InChI=1S/C43H81O13P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-37(45)55-35(34-54-57(51,52)56-43-41(49)39(47)38(46)40(48)42(43)50)33-53-36(44)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h26,28,35,38-43,46-50H,3-25,27,29-34H2,1-2H3,(H,51,52)/b28-26-/t35?,38-,39-,40+,41-,42-,43-/m1/s1	1198.8	yes
Phosphatidylethanolamine_lyso_20:0	InChI=1S/C25H52NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-25(28)33-24(22-27)23-32-34(29,30)31-21-20-26/h24,27H,2-23,26H2,1H3,(H,29,30)	378.6	yes
Phosphatidylcholine_lyso_20:0	InChI=1S/C28H58NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)36-27(25-30)26-35-37(32,33)34-24-23-29(2,3)4/h27,30H,5-26H2,1-4H3	369.0	yes
Phosphatidylethanolamine_16:0-18:1	InChI=1S/C39H76NO8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(42)48-37(36-47-49(43,44)46-34-33-40)35-45-38(41)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h26,28,37H,3-25,27,29-36,40H2,1-2H3,(H,43,44)/b28-26-	1593.0	yes
Sphingomyelin_d18:1-C18:0	InChI=1S/C41H83N2O6P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-41(45)42-39(38-49-50(46,47)48-37-36-43(3,4)5)40(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h32,34,39-40,44H,6-31,33,35-38H2,1-5H3,(H-,42,45,46,47)/b34-32+/t39-,40+/m1/s1	1686.0	yes
Phosphatidylcholine_16:1-20:4	InChI=1S/C44H78NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-25-27-29-31-33-35-37-44(47)53-42(41-52-54(48,49)51-39-38-45(3,4)5)40-50-43(46)36-34-32-30-28-26-24-19-17-15-13-11-9-7-2/h16,18,21-22,25,27,30-33,42H,6-15,17,19-20,23-24,26,28-29,34-41H2,1-5H3/b18-16-,22-21-,27-25-,32-30-,33-31-	738.0	yes
Phosphatidylethanolamine_16:0-16:1	InChI=1S/C37H72NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-36(39)43-33-35(34-45-47(41,42)44-32-31-38)46-37(40)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h24,26,35H,3-23,25,27-34,38H2,1-2H3,(H,41,42)/b26-24-	1174.2	yes
